model,task,index,value
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,0,18.291829377565897
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,1,60.82838478524126
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,2,67.10433336638665
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,3,67.88528703920167
ASPP_resnet50_cityscape_pretrain_v3.pth,zoom,4,59.51528456772838
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,0,56.64395540019322
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,1,56.867929288466236
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,2,59.21747460699053
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,3,57.34815510453777
ASPP_resnet50_cityscape_pretrain_v3.pth,overlap,4,55.78991252369839
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,0,65.32034097477279
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,1,43.54457518237736
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,2,26.711881353494306
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,3,19.100150034982942
ASPP_resnet50_cityscape_pretrain_v3.pth,repeat,4,11.41718621233618
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,0,22.373980049862478
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,1,60.38950937414853
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,2,66.94104497866635
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,3,63.981158661964145
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,zoom,4,63.670864422322516
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,0,58.70895772172013
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,1,60.8829099513615
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,2,59.37322256536437
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,3,55.437476220795254
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,overlap,4,56.249023601121706
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,0,66.80398396987928
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,1,44.01319670425675
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,2,29.31441137298413
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,3,20.108244336298995
PIGNet_GSPonly_resnet50_cityscape_pretrain_v3.pth,repeat,4,13.698256894372681
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,0,21.60405487613691
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,1,62.415819529947605
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,2,66.20471617024266
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,3,65.54907607532951
PIGNet_resnet50_cityscape_pretrain_v3.pth,zoom,4,61.35176519355008
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,0,59.513133491217914
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,1,60.881384606004865
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,2,58.55683849217911
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,3,59.517169971109695
PIGNet_resnet50_cityscape_pretrain_v3.pth,overlap,4,57.626826100174924
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,0,67.71379293118217
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,1,44.94198534508516
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,2,27.580338052538455
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,3,19.17246536057553
PIGNet_resnet50_cityscape_pretrain_v3.pth,repeat,4,12.510984590512834
